FSC-A,FSC-Width,SSC-A,B525-FITC-A,R712-APCA700-A,V450-PB-A,Y585-PE-A,Y763-PC7-A,R660-APC-A,Time
660342,1631.51,487301,21466.8,19.3793,61660.8,22321.2,5390.05,4924.6,3.56249
764751,1887.76,549239,28470.1,12.4756,31930.5,24646.1,2482.59,7951.99,3.56809
752842,1578.8,360565,25702.4,1483.26,39483.9,22391.3,3118.51,5119.01,3.58112
870497,2095.14,478650,17382.8,14587.1,35275.4,17914.2,6631.5,6720.06,3.60388
667621,1482.06,435015,8470.07,251.253,11036.3,3596.91,883.964,577.294,3.61665
1.02E+06,1835.15,846220,60446.1,610.179,104604,51586.3,48304.7,13173,3.69705
771160,1571.21,628644,40180.6,12342.5,26759.8,28693.5,8577.96,6587.81,3.72376
1.04E+06,1561.25,488568,2839.25,-217.175,13972.6,956.704,243.598,334.75,3.73821
1.23E+06,1643.96,1.11E+06,38076.9,-147.976,76599.5,39393.2,25550.3,6998.68,3.74789
579881,1770.75,503014,54813.4,279.403,80132.7,23215.7,42566.2,7233.37,3.76648
605442,1727.17,613470,28059,-44.4767,60760.7,18602.7,5785.13,1631.77,3.77298
1.34E+06,1551.77,1.16E+06,32490.8,32364.8,77374.7,34923,8231.96,8475.75,3.77962
1.02E+06,1918.83,713130,72632.8,-236.936,117062,47446.7,10068.6,13637.2,3.79971
717505,1659.99,513015,24854.7,-292.115,35324.8,8637.7,996.616,1015.66,3.80335
900036,1499.85,671113,33596.5,244.682,93181,26919.9,10378.7,9653.89,3.82696
540281,1607.42,537941,29765.6,825.807,42081.9,12726.6,10114.2,2858.07,3.8293
769272,1950.03,735066,30137.3,149.388,54904.5,43832.8,10880.8,4869.34,3.82974
673344,1456.35,461251,17180.6,188.797,28330.3,16885.4,4291.34,5243.53,3.83554
1.68E+06,2240.28,1.37E+06,62045.5,51884.3,160473,47456.3,24765.5,7279.62,3.83746
849539,1672.99,702026,40080.3,9577.5,32866.3,17923.7,8743.68,4426.33,3.84332
592356,1664.21,507910,14014.9,257.065,23572.9,2841.03,1345.72,1833.95,3.86635
665390,1983.28,587004,22539.5,-48.6765,69648.7,19417.9,7637.4,5542.35,3.86733
808129,1978.96,552233,28615.8,7.6129,48813.6,11718.8,6667.91,4612.73,3.86919
651715,1615.43,611264,28327.9,-386.234,73897.3,17785.9,14672.8,3726.15,3.8911
783347,1540.88,564448,40601.6,392.241,64847.6,22809.5,19113.2,6237.34,3.89572
936017,1623.88,436020,9409.36,-120.803,26250.3,2032.29,-282.685,383.881,3.90066
819239,1440.81,576624,26011.8,-320.164,45617,13272.2,7744.44,2738.44,3.90182
686051,1396.32,400229,12535.8,-313.172,34374.4,12073.2,8917.07,4715.98,3.90234
842450,1542.28,552098,63280,363.143,95526.5,25753.1,7651.93,7660.39,3.90638
723083,2179.7,395188,9933.39,-152.283,22011,5347.03,1866.41,1128.93,3.9131
684223,1436.74,690688,13363.6,440.173,14771.6,7884.1,4214.36,2067.4,3.94585
1.09E+06,1743.36,802330,58754.1,190.81,48601.4,22700.3,1311.33,6732.3,3.94893
1.30E+06,1820.93,613531,19041.7,3210.8,62825.1,1287.32,-877.165,929.636,3.95618
1.04E+06,1515,1.04E+06,3673.9,239.536,19791.8,1212.3,-256.604,390.646,4.04456
679051,1566.3,429725,37820.4,356.288,47778.9,14934.4,6777.61,7895.66,4.06659
1.25E+06,2059.12,465568,8705.36,3653.17,29906.4,1703.75,382.709,1007.45,4.12433
1.10E+06,1579.33,979470,735.712,170.054,80725.9,455.322,-171.987,-48.5593,4.216
785893,1492.47,608289,274.785,93.6825,24706.6,85.9931,-14.0949,123.176,4.24195
595918,1724.25,402280,24746.2,1804.81,36493.4,14986.3,4480.33,1866.12,4.77047
726234,1455.04,334342,20114.6,549.711,33341.2,11670.4,6654.29,13217.9,4.81831
835545,1387.41,472875,599.159,-597.233,91603.1,-27.9344,-509.317,158.729,4.88003
868034,1762.42,648337,40333.8,-229.591,44861.2,12468.3,8111.07,3439.68,5.13153
845303,1690.63,501775,43315.3,-801.593,27643.2,5112.06,1735.42,1574.7,5.13233
856660,1768.16,642683,36415.1,37650.5,71271,27612.3,32196.9,2958.96,5.13749
1.39E+06,1536.61,921195,39654.2,1053.76,65792.4,45806.3,3638.51,3245.73,5.16128
773737,1578.6,706208,46470.3,-418.413,73450.7,38553.4,19431,6382.55,5.16628
819144,1616.12,657748,21253.3,6312.38,21413,7047.23,7356.31,1575.93,5.17006
673059,1668.53,492873,53606.4,339.153,65504.5,29179,11877.3,4952.64,5.17384
631081,1426.67,471162,8989.18,-63.0902,11141.5,3658.8,1188.29,518.683,5.182
1.03E+06,1648.12,596959,34655.9,687.313,56761,23672.9,1746.44,12120.9,5.18206
707161,1810.55,703204,11213.6,-674.394,17646.9,2801.52,182.054,805.139,5.19015
635320,1481.98,651020,13486.7,-876.565,22686.8,5036.28,1274.87,1131.87,5.19519
584297,1620.97,389468,14615.2,-145.775,16684.7,6508.68,3670.14,4286.89,5.20139
921626,1620.33,608965,37799,6503.02,37700.9,17260.6,17313.6,1798.3,5.20617
532781,1525.22,557015,20786.4,115324,29057.9,9800.73,-1295.74,2397.84,5.22486
1.11E+06,1722.05,697365,43368.9,9357.4,38130.8,23151.6,1360.39,2352.83,5.22752
1.34E+06,1980.64,934620,60551.9,721.114,118791,33037.3,20159,30292.9,5.2284
1.39E+06,1742.45,605901,23187.2,-206.574,50036.8,16561.7,14757.6,4189.32,5.23218
544867,1840.62,488102,28083.9,8392.78,24464.7,9965.4,5963.01,1883.85,5.25751
880284,1750.29,695743,48123.9,710.383,77214.4,36619.3,7730.29,8147.72,5.26387
760832,1696.57,452617,27278.9,39.1045,43999.4,25377.8,9259.95,5417.16,5.26427
744462,1843.8,700403,40825.5,-402.76,52009.8,35132.8,17425.4,3652.57,5.27263
744419,1388.64,495540,16449.5,-575.854,30338.2,16687.3,8360.1,1279.01,5.28252
1.09E+06,2059.72,494401,23119.9,-1447.64,48268.8,21513,3188.8,6375.31,5.28412
707994,1556.59,613149,29607.7,215958,51135.2,15016.7,2662.54,4551.88,5.29298
737629,1979.38,733657,56012.7,524.578,94457.8,35758.7,46874.6,11223.8,5.30668
669413,1436.02,312596,10455.7,183.72,17383.2,5553.61,4505.86,266.02,5.30754
1.25E+06,1923.37,1.14E+06,38749.9,3419.96,67412.7,25486.8,31369.2,3206.2,5.31136
1.57E+06,2339.9,964524,58022.7,-414.35,80073,38599.5,9204.33,10517.6,5.32155
