FSC-A,FSC-Width,SSC-A,B525-FITC-A,R712-APCA700-A,V450-PB-A,Y585-PE-A,Y763-PC7-A,R660-APC-A,Time
638425,1780.55,341721,36376.6,632.972,47535.7,24385.2,3955.41,8909.97,0.01603
679911,1577.66,769839,14108.4,13293.8,41438.7,6152.49,1345.59,625.621,0.0214268
996907,1841.86,710869,65256,322.811,91692.3,40888,8863.31,10311.1,0.0248174
1.30E+06,2110.36,930336,54061.4,1156.75,104618,45629.6,10607,11748.6,0.0453213
950181,2132.28,737907,75446.5,1069.38,96858,29201,20569.1,6491.18,0.0463445
1.02E+06,1886.37,907987,18409,27775.6,30728.7,7371.7,1826.64,2446.22,0.0464448
586368,1907.71,452624,19427.6,2276.67,22189.9,17330.4,4139.21,1672.5,0.0464448
1.39E+06,1947.22,1.19E+06,46912.5,-319.05,44285.5,14006.7,1885.99,2883.1,0.0544097
727756,1993.3,454311,35295.8,-306.549,31182.5,8886.79,3194.63,1322.46,0.0671093
583831,1624.4,342018,11329.6,578.396,8690.33,2527.73,450.737,158.012,0.0690754
955188,1734.68,876009,26437.4,3289.7,47846.9,21185.9,11173.8,3001.71,0.076659
933316,2242.12,622122,29630.9,874.943,58576.2,27574.8,14009.2,13381.9,0.0855668
692350,1512.17,693372,18133.1,650.73,21150.1,7808.19,2440.04,1132.04,0.0885762
818602,1783.48,521380,24006.1,-135.061,49945,22429.3,2330.56,3650.36,0.0887568
1.11E+06,1495.46,741020,49559.8,708.338,75895.7,29353.9,42226.3,3577.12,0.0896997
905778,1765.19,668307,46441.7,-85.182,83604.6,34461.8,7006.95,6689.07,0.0980859
636987,2003.74,509526,20577,-175.786,56368.5,19458.1,1978.51,2802.31,0.09941
787829,1913.18,700693,29429.8,1267.57,115523,31183.1,17216.6,8533.98,0.102058
710060,1437.12,714230,29346.9,3612.72,23446,11739.8,828.804,1013.95,0.106011
1.21E+06,1790.03,842904,72538.6,1677.53,141860,58047.8,7050.3,10890.8,0.107355
787841,1492.9,785540,34252.8,547.165,33097.6,9460.77,23910.5,817.077,0.120676
692414,1608.54,466970,48619.9,357.859,65953.1,20743.1,19049.2,7271.35,0.121459
818782,1536.63,431236,36883.7,1391.21,23259.3,8571.8,2637.48,1774.04,0.122743
828733,1687.74,683175,48794,781.622,81459.7,22627.3,10425.1,3140.72,0.123666
591420,1524.89,722700,15844.9,33083.2,19121.1,8627.86,3709.66,1825.54,0.128842
751924,1683.57,676538,37630.8,3984.82,47587.2,35676.4,8353.17,5454.77,0.129103
906891,1686.6,620850,38341.3,-147.618,51930.6,22458.5,16276.1,4063.34,0.143588
1.23E+06,1713.84,871597,42472.1,686.174,90200.5,31102.8,4662.98,9197.54,0.145353
1.14E+06,1503.89,842458,47620.1,10145.6,34695.9,8182.73,1823.41,1961.43,0.149546
597421,1896.24,503026,22207.8,591.644,23931.6,8273.07,3530.28,1491.18,0.159939
