FSC-A,FSC-Width,SSC-A,B525-FITC-A,R712-APCA700-A,V450-PB-A,Y585-PE-A,Y763-PC7-A,R660-APC-A,Time
605156,1873.32,491677,26557.7,-364.248,13687.2,6785.84,2142.84,200.029,0.709633
799462,1887.82,623071,36636.4,117.747,18414.4,33265,13879.5,1333.97,0.793374
695887,1732.07,658098,73531.4,751.965,56453.4,58285.1,14581,2495.04,0.907971
808825,1388.43,1.06E+06,467.391,-227.482,49098,130.462,297.18,205.497,1.09708
580987,1677.37,394092,2426.86,-462.094,14121,7058.92,564.299,330.316,1.17584
599307,1417.4,463488,307.586,-279.7,22452.7,168.574,-385.609,197.071,1.64363
1.05E+06,1412.36,770315,5614.9,-421.352,15518.1,1283.62,-465.679,760.87,1.83405
772872,1587.64,757553,157.864,-111.3,35057,-313.861,-21.2898,206.233,1.95141
980190,1428.54,582203,441.511,-80.5808,49430.6,-113.973,-441.199,38.1436,2.22752
646482,1400.57,472553,267.966,-155.434,19528.8,-174.61,-430.483,86.5977,2.44489
817598,1355.16,843731,327.419,62.5583,67783.4,322.02,-386.108,35.3932,2.6692
777619,1380.73,1.01E+06,378.421,-30.527,59197.7,-76.0154,-107.664,109.437,2.71332
737709,1655.04,592141,3945.71,-362.221,18439.2,6871.34,2250.46,1676.4,2.71428
699363,1425.63,474513,11144.1,-467.131,10846.3,7209.83,5146.25,617.446,3.13153
730245,1802.03,470128,8579.93,-1156.65,16709.7,17997.3,2769.1,415.613,3.14283
707199,1600.62,504381,11151.1,23819.3,13024.5,9798.49,14009.1,406.275,3.16895
760665,2130.01,567268,22844.4,-64.8137,20645.9,18161.6,17177.6,1725.76,3.18974
726617,1523.78,471008,21625.6,584.686,11987,13719.2,8451.86,1577.73,3.32074
740622,1463.79,579717,14143.2,2387.61,6825.25,6721.58,5286.69,596.841,3.38073
745471,1373.88,361931,345.573,-85.7655,16035.9,261.872,424.704,-4.71834,3.65513
743643,1367.68,951037,505.445,-212.14,82557.4,-69.409,-313.642,147.67,3.67976
619152,1650.59,517413,27189.6,-465.775,22489.3,12919.4,5358.85,1498.19,3.69907
1.02E+06,1625.5,613863,35245.8,10594.7,25970.7,30499.1,21621,3353.65,3.73907
653999,1947.6,384754,37.75,-92.0423,11506.7,-292.858,-65.9379,243.881,3.74637
1.63E+06,1660.3,1.04E+06,4748.15,210.379,13587.2,1311.4,-29.2563,491.877,3.76366
960192,1537.67,581075,375.932,258.773,28698.9,-209.861,42.1656,241.754,3.81102
1.41E+06,1920.87,824865,49398.3,1448.99,28486.7,33555.1,16219.9,3269.11,4.0389
