FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
498292,302557,148804,1132970,704021,91219,8357.94,3331.83,6481.26,59848.8,13227.6,31013.7
556606,304830,368522,2551800,1478450,217761,12142.3,2714.3,24068.5,349143,6912.73,43273.5
511519,319828,206827,1372990,1025250,154713,6589.27,2222.37,9643.36,50266.1,9098.13,51346.8
334180,186809,173764,1060310,714738,111063,7648.87,1376.5,21739.7,40984.4,9773.55,45057.5
1007260,399495,369099,2433490,1159880,180821,14852.8,1908.33,48896.1,18332.7,9052.33,40481.9
633947,375688,373161,2315100,1411910,231452,13621.5,4491.8,37027.5,416115,19293.1,50869.8
966451,339999,609601,3773190,1579740,257798,14348.7,7335.79,18197.6,78569.8,18157.4,92060.8
811290,450431,433461,2817860,1751200,265700,9532.15,2152.53,12761.1,20794.3,9188.41,13592.3
759235,343607,302080,2043120,1088970,161992,17459.1,4796.54,551442,108895,6854.08,60923.1
480743,295544,211830,1294850,781145,129554,9831.11,4296.1,14100.1,77514.2,7371.61,53250.9
597146,351429,232337,1543450,997621,145267,11375.8,5201.17,127665,87239.9,12804.1,50353.9
677912,412453,293583,1865670,1256510,198523,10154.7,2516.52,306412,44171,6515.35,33272.3
948858,570140,280654,1940260,1146850,168346,8744.97,4473.13,54107.8,51927.2,21500.1,63751.3
794301,457921,336060,1955530,1063540,187269,15466.2,2695.05,34478.3,40000.1,10166.7,38919.5
395979,289564,124305,764150,568845,92643,6283.09,1736.99,60737.3,121701,8171.16,47419
645818,347018,327854,1952400,1044570,177683,13826.9,3026.85,16707.9,47953.3,10179.7,51573.7
1041390,442749,633772,4194300,1903640,264605,20515.2,5336.04,90748.2,383647,17480.9,80096.6
451823,239192,275516,1835280,1117380,162635,9520.9,3809.02,5663.94,122312,16465.8,42459.2
960266,410068,616574,3580920,2012370,351512,26023.1,2420.41,16007,464883,18836.5,54169.1
1221700,485523,663990,3896200,1490630,272323,20979.7,8420.46,34199.2,158916,13379.1,91504.8
581939,308020,343131,2586890,1503430,194064,9674.72,1346.55,8370.26,318309,6742.22,32079.5
530205,346181,229657,1946720,1232480,147530,11775.3,2626.86,20201.5,88003.1,7200.46,44579
460029,283880,253731,1435180,894214,158941,9277.32,5080.53,28628.5,162969,19326.5,48198
435755,253737,216830,1255920,817585,141449,6602.06,2160.52,6919.24,33785.6,8570.34,28215.9
809541,451218,649619,4194300,2515110,378571,16982.3,3672.26,63151.4,294175,20009.1,65536.9
692836,389017,347465,2294760,1460510,227744,7496.73,1769.94,10235.2,19149.6,14088.4,22017.7
